school_name,department_name,department_id,score
國立臺灣師範大學,東亞學系,2302,1.429294
國立清華大學,科技管理學院學士班,11142,1.41909
國立政治大學,民族學系,6152,1.418392
國立政治大學,資訊科學系(APCS組),6412,1.41807
高雄醫學大學,薪火招生B組,7222,1.417907
國立政治大學,教育學系(公費生乙組),6062,1.416839
國立成功大學,機械工程學系,4102,1.40854
國立臺北大學,法律學系司法組,99022,1.405714
國立政治大學,會計學系,6192,1.403192
國立清華大學,藝術學院學士班,11522,1.398689
國立清華大學,旭日招生乙組(科管),11482,1.394591
國立清華大學,旭日招生丙組(原科、生科、理學),11492,1.391786
國立成功大學,材料科學及工程學系,4122,1.38491
國立臺灣大學,社會工作學系,1212,1.36827
國立聯合大學,資訊工程學系(APCS組),151132,1.362436
國立成功大學,職能治療學系,4312,1.362346
國立臺灣大學,地質科學系,1122,1.359251
國立交通大學,資訊管理與財務金融學系資訊管理組,13182,1.348138
國立成功大學,護理學系,4302,1.345953
國立清華大學,清華學院學士班丁組(不分系招生-創新領導),11452,1.336722
國立陽明大學,生物醫學工程學系,25102,1.328879
國立交通大學,土木工程學系,13102,1.326787
開南大學,養生與健康行銷學系,110192,1.315968
國立交通大學,電子物理學系電子物理組,13142,1.315877
國立臺灣大學,社會學系,1202,1.314972
國立清華大學,醫學科學系,11402,1.311223
佛光大學,未來與樂活產業學系,130292,1.309871
國立成功大學,環境工程學系,4192,1.308313
國立屏東大學,音樂學系,36302,1.305818
國立政治大學,政治學系,6072,1.30363
國立陽明大學,不分系招生(璞玉A組),25132,1.298407
臺北醫學大學,醫學系(公費生),109022,1.298107
國立成功大學,土木工程學系,4142,1.29582
國立政治大學,財政學系,6092,1.29276
國立臺灣師範大學,國文學系,2112,1.291622
國立政治大學,風險管理與保險學系,6242,1.291262
國立交通大學,光電工程學系,13032,1.283392
國立清華大學,電機工程學系甲組,11332,1.281216
國立中央大學,資訊工程學系(APCS組),16222,1.278226
國立臺灣師範大學,地理學系,2142,1.275107
國立政治大學,政星招生甲組,6432,1.255534
國立成功大學,工業與資訊管理學系(APCS組),4242,1.234501
開南大學,電影與創意媒體學系,110132,1.22918
國立交通大學,電子物理學系光電與奈米科學組,13132,1.228759
長庚大學,物理治療學系,30062,1.226806
國立臺灣藝術大學,視覺傳達設計學系,56182,1.225986
國立臺灣藝術大學,古蹟藝術修護學系,56172,1.224948
國立成功大學,電機工程學系,4392,1.223989
國立臺北教育大學,自然科學教育學系(公費生),32252,1.222369
實踐大學,媒體傳達設計學系創意媒體設計組(臺北校區),50082,1.212634
中國醫藥大學,藥學系,12052,1.211967
國立成功大學,化學工程學系,4112,1.210761
