school_name,department_name,department_id,score
國立清華大學,物理學系物理組,11092,3.09618
國立清華大學,數學系數學組,11072,3.075426
國立交通大學,資訊管理與財務金融學系資訊管理組,13222,3.074767
國立清華大學,數學系應用數學組,11082,3.06947
中山醫學大學,醫學系,26012,3.041032
國立臺灣大學,哲學系,1042,3.019769
國立臺北藝術大學,新媒體藝術學系,28012,2.999115
國立政治大學,傳播學院大一大二不分系,6232,2.992118
國立臺灣師範大學,體育學系,2382,2.982919
國立清華大學,動力機械工程學系,11182,2.973009
國立臺灣大學,人類學系,1052,2.969706
國立陽明大學,不分系招生(璞玉A組),25132,2.964171
國立臺灣大學,昆蟲學系,1442,2.962825
高雄醫學大學,藥學系,7062,2.954478
國立臺灣大學,園藝暨景觀學系,1402,2.925269
國立成功大學,都市計劃學系,4422,2.909477
國立交通大學,光電工程學系,13072,2.904071
國立政治大學,應用數學系,6342,2.882393
國立成功大學,大一全校不分系學士學位學程,4462,2.862948
國立政治大學,財務管理學系,6212,2.857863
慈濟大學,醫學系(公費生),108172,2.85437
國立成功大學,生物醫學工程學系,4222,2.847528
國立陽明大學,醫學系(公費生),25152,2.844444
國立臺灣師範大學,人類發展與家庭學系營養科學與教育組,2082,2.842775
國立臺灣藝術大學,多媒體動畫藝術學系,56252,2.837174
國立清華大學,資訊工程學系乙組(資訊工程組),11252,2.822673
國立臺灣大學,森林環境暨資源學系,1372,2.815018
國立中央大學,化學學系,16062,2.805235
國立政治大學,不分系招生(政星組),6372,2.796509
國立成功大學,物理學系物理組,4062,2.781301
國立交通大學,材料科學與工程學系,13112,2.764652
國立政治大學,中國文學系,6012,2.751428
國立清華大學,旭日招生乙組(理工、電資、生科、原科),11332,2.750758
高雄醫學大學,醫學系(公費生),7262,2.750716
國立政治大學,國際經營與貿易學系,6152,2.739845
國立陽明大學,醫學生物技術暨檢驗學系,25042,2.735796
國立成功大學,系統及船舶機電工程學系,4182,2.721334
國立清華大學,資訊工程學系甲組(電子資訊組),11242,2.719966
國立陽明大學,護理學系,25062,2.714665
國立臺灣師範大學,美術學系國畫組,2372,2.712059
實踐大學,工業產品設計學系(臺北校區),50062,2.709103
國立陽明大學,物理治療暨輔助科技學系,25082,2.672515
國立清華大學,醫學科學系,11282,2.657208
國立交通大學,奈米科學及工程學士學位學程,13022,2.655206
國立政治大學,統計學系,6182,2.652866
中國醫藥大學,藥學系,12052,2.64864
國立清華大學,工業工程與工程管理學系,11202,2.647554
國立臺灣大學,中國文學系,1012,2.639309
國立臺灣藝術大學,雕塑學系,56212,2.636235
國立清華大學,清華學院學士班丁組(原不分系招生己組),11312,2.627945
國立交通大學,理學院科學學士學位學程(丁組，科學人才不分系),13162,2.623683
