school_name,department_name,department_id,score
國立臺北大學,不動產與城鄉環境學系,99112,2.071737
國立臺灣大學,農業化學系,1392,2.065594
國立政治大學,社會學系,6062,2.064879
臺北醫學大學,呼吸治療學系,109102,2.0616
國立清華大學,計量財務金融學系,11152,2.059132
國立臺灣師範大學,華語文教學系應用華語文學組,2282,2.057305
國立陽明大學,生命科學系暨基因體科學研究所,25092,2.057019
國立臺北教育大學,自然科學教育學系(公費生甲組),32192,2.055507
國立臺灣師範大學,東亞學系,2292,2.045569
國立交通大學,電子物理學系電子物理組,13172,2.043607
高雄醫學大學,不分系招生（薪火A組）,7222,2.042666
國立中央大學,電機工程學系,16182,2.03617
國立臺灣師範大學,教育學系,2012,2.035084
國立臺北教育大學,自然科學教育學系(芝山組),32172,2.019533
國立清華大學,藝術與設計學系設計組,11502,2.001269
國立交通大學,應用數學系,13192,1.995468
國立清華大學,人文社會學院學士班,11042,1.992412
亞洲大學,心理學系心理師研修組,134072,1.987874
國立臺灣師範大學,英語學系,2112,1.978608
國立交通大學,旋坤揚帆招生乙組(工程),13302,1.978313
國立政治大學,哲學系,6032,1.978104
國立臺灣師範大學,設計學系產品設計組,2312,1.977039
國立政治大學,地政學系土地測量與資訊組,6112,1.976598
國立臺北教育大學,語文與創作學系語文師資組(公費生),32182,1.9764
長庚大學,醫學系(公費生),30202,1.970794
國立政治大學,民族學系,6132,1.963138
國立中正大學,嘉星招生甲組,41312,1.955656
國立臺灣師範大學,科技應用與人力資源發展學系,2232,1.954273
國立成功大學,職能治療學系,4312,1.940463
國立成功大學,土木工程學系,4142,1.935704
國立清華大學,外國語文學系,11032,1.933816
國立成功大學,環境工程學系,4192,1.933002
實踐大學,媒體傳達設計學系創意媒體設計組(臺北校區),50082,1.923024
國立臺北教育大學,藝術與造形設計學系藝術組,32262,1.92216
臺北醫學大學,醫學系(公費生),109172,1.921327
國立交通大學,材料科學與工程學系,13112,1.917156
國立成功大學,成星招生戊組(生醫),4522,1.909807
國立政治大學,統計學系,6182,1.905635
國立臺灣師範大學,臺灣語文學系,2142,1.898254
國立成功大學,航空太空工程學系,4182,1.891467
國立成功大學,心理學系,4372,1.891189
國立政治大學,地政學系土地資源規劃組,6092,1.888382
高雄醫學大學,不分系招生（薪火C組）,7242,1.868324
逢甲大學,建築專業學院學士班,15392,1.863293
國立中興大學,植物病理學系,3302,1.859203
國立政治大學,應用數學系,6342,1.857287
臺北醫學大學,保健營養學系,109072,1.84979
國立屏東大學,幼兒教育學系(公費生),36032,1.849575
國立中山大學,資訊工程學系,27102,1.849302
國立中央大學,資訊工程學系,16192,1.84633
國立成功大學,成星招生乙組(管理),4492,1.834146
國立政治大學,政治學系,6052,1.832995
國立成功大學,材料科學及工程學系,4122,1.831537
國立臺灣師範大學,化學系,2172,1.824888
國立交通大學,運輸與物流管理學系,13242,1.823921
國立臺灣師範大學,不分系招生(晨光組),2322,1.817398
國立臺灣師範大學,教育心理與輔導學系,2022,1.803277
國立臺灣師範大學,美術學系國畫組,2372,1.795498
國立臺灣師範大學,國文學系,2102,1.784999
國立政治大學,阿拉伯語文學系,6252,1.771258
國立中興大學,化學系,3112,1.768723
國立成功大學,光電科學與工程學系,4092,1.766502
國立政治大學,歐洲語文學系法文組,6302,1.750971
國立中興大學,森林學系林學組,3282,1.735915
國立臺灣師範大學,資訊工程學系,2202,1.734191
國立陽明大學,物理治療暨輔助科技學系,25082,1.731677
國立中央大學,大氣科學學系大氣組,16232,1.727411
中國醫藥大學,護理學系(公費生),12152,1.72311
國立嘉義大學,輔導與諮商學系(公費生),100032,1.718852
國立清華大學,醫學科學系,11382,1.718607
國立臺灣藝術大學,廣播電視學系,56022,1.711424
國立政治大學,日本語文學系,6272,1.711397
國立清華大學,經濟學系,11132,1.710202
國立成功大學,工程科學系,4162,1.708686
國立交通大學,傳播與科技學系,13272,1.707876
國立清華大學,生醫工程與環境科學系,11232,1.700949
國立政治大學,歷史學系,6022,1.692952
國立成功大學,經濟學系,4352,1.68375
國立成功大學,機械工程學系,4102,1.67963
亞洲大學,聽力暨語言治療學系,134152,1.677638
長庚大學,醫學影像暨放射科學系,30052,1.67486
國立成功大學,統計學系,4262,1.674314
國立交通大學,人文社會學系,13282,1.667387
國立成功大學,醫學檢驗生物技術學系,4292,1.666496
國立中興大學,土壤環境科學系,3332,1.666119
實踐大學,建築設計學系(臺北校區),50092,1.664563
臺北醫學大學,護理學系,109062,1.662444
國立成功大學,成星招生丁組(工),4512,1.650604
國立成功大學,水利及海洋工程學系,4152,1.643927
國立中興大學,農藝學系,3262,1.636553
臺北醫學大學,高齡健康管理學系,109112,1.624533
中山醫學大學,語言治療與聽力學系語言治療組,26052,1.62439
長庚大學,電機工程學系通訊組,30112,1.623433
國立成功大學,工業與資訊管理學系,4232,1.622436
國立中興大學,森林學系木材科學組,3292,1.597538
南華大學,管理學院國際企業學士學位學程,59072,1.590282
國立臺灣藝術大學,視覺傳達設計學系,56182,1.589477
國立臺灣師範大學,健康促進與衛生教育學系,2042,1.571744
國立中央大學,大氣科學學系太空組,16242,1.57165
國立中山大學,海洋科學系,27182,1.567239
亞洲大學,護理學系(公費生),134132,1.558267
國立成功大學,地球科學系,4082,1.553828
國立臺灣海洋大學,商船學系,21012,1.551209
國立成功大學,能源國際學士學位學程,4222,1.549164
國立政治大學,土耳其語文學系,6292,1.548569
長庚大學,職能治療學系,30072,1.544604
國立臺灣海洋大學,海洋經營管理學士學位學程,21262,1.53735
國立臺灣大學,護理學系(公費生),1282,1.534039
長庚大學,電機工程學系系統與晶片設計組,30102,1.533218
國立陽明大學,醫學生物技術暨檢驗學系,25042,1.533046
國立臺中教育大學,英語學系(公費生),31082,1.530026
國立政治大學,歐洲語文學系西班牙文組,6322,1.529934
國立中山大學,外國語文學系,27022,1.527816
國立成功大學,法律學系,4362,1.526127
國立中央大學,數學系,16042,1.523735
國立臺灣藝術大學,圖文傳播藝術學系,56012,1.523555
國立清華大學,中國文學系甲組(一般組),11012,1.522722
國立交通大學,生物科技學系,13202,1.514772
國立臺北大學,休閒運動管理學系,99082,1.511426
國立政治大學,公共行政學系,6082,1.510115
國立中興大學,水土保持學系,3242,1.50271
國立彰化師範大學,輔導與諮商學系學校輔導與諮商組,23012,1.497848
國立政治大學,金融學系,6162,1.49602
國立政治大學,政星招生乙組,6392,1.490776
國立清華大學,旭日招生甲組(人文、科管、教育),11442,1.488932
臺北醫學大學,不分系招生(展翅),109182,1.486971
國立中山大學,資訊管理學系,27142,1.483313
中國醫藥大學,物理治療學系,12092,1.482734
國立成功大學,生物醫學工程學系,4212,1.481385
國立清華大學,幼兒教育學系,11072,1.476197
國立中央大學,通訊工程學系,16212,1.475892
國立臺灣師範大學,圖文傳播學系,2242,1.471724
國立臺灣海洋大學,資訊工程學系,21172,1.462357
國立陽明大學,生物醫學影像暨放射科學系,25052,1.460984
國立清華大學,特殊教育學系,11092,1.458574
亞洲大學,職能治療學系,134162,1.457904
國立高雄大學,土木與環境工程學系土木工程組,101192,1.455492
國立臺灣大學,動物科學技術學系,1412,1.449428
國立臺灣海洋大學,航運管理學系,21022,1.448516
國立中興大學,化學工程學系,3212,1.448044
國立中央大學,土木工程學系,16082,1.438888
國立成功大學,資訊工程學系,4392,1.429007
國立高雄大學,亞太工商管理學系工業管理組,101112,1.424494
國立中央大學,生醫科學與工程學系,16282,1.4205
國立清華大學,英語教學系,11112,1.420387
東吳大學,法律學系,5162,1.419211
國立中興大學,園藝學系,3272,1.41255
國立彰化師範大學,數學系,23042,1.399693
國立中正大學,政治學系,41132,1.399371
長庚大學,醫學生物技術暨檢驗學系,30042,1.396513
國立臺灣藝術大學,書畫藝術學系,56152,1.395431
國立中山大學,機械與機電工程學系,27092,1.383746
國立中山大學,材料與光電科學學系,27122,1.37386
開南大學,法律學系,110172,1.37371
國立臺北教育大學,數學暨資訊教育學系資訊組,32162,1.371732
逢甲大學,資訊工程學系(APCS組),15242,1.364538
國立成功大學,成星招生丙組(理),4502,1.359749
國立成功大學,生命科學系,4432,1.359734
國立中興大學,應用數學系數據科學與計算組,3152,1.358335
國立中央大學,工學院學士班,16132,1.35502
國立中山大學,化學系,27052,1.351704
國立成功大學,中國文學系,4012,1.349265
開南大學,空運管理學系,110082,1.347313
國立成功大學,測量及空間資訊學系,4202,1.347065
國立臺灣體育運動大學,運動事業管理學系,60012,1.337754
中原大學,室內設計學系,8302,1.336045
長庚大學,化工與材料工程學系,30132,1.333492
國立交通大學,工業工程與管理學系,13252,1.331702
長庚大學,呼吸治療學系,30092,1.330471
國立臺灣師範大學,營養科學學士學位學程,2222,1.327984
國立臺灣師範大學,公民教育與活動領導學系,2072,1.325401
國立彰化師範大學,物理學系物理組,23052,1.32247
國立政治大學,教育學系,6042,1.322445
輔仁大學,織品服裝學系織品服飾行銷組,20352,1.314965
國立清華大學,教育心理與諮商學系,11082,1.314146
國立中央大學,機械工程學系光機電工程組,16092,1.313421
國立清華大學,中國文學系乙組(華語文教學組),11022,1.299988
國立中山大學,電機工程學系,27082,1.292852
國立交通大學,旋坤揚帆招生丙組(理學生科),13312,1.289954
國立臺北教育大學,藝術與造形設計學系設計組,32112,1.287364
國立臺北大學,公共行政暨政策學系,99092,1.284418
國立成功大學,政治學系,4342,1.283338
國立中山大學,海洋生物科技暨資源學系,27172,1.283141
國立中央大學,財務金融學系,16172,1.278657
國立臺北教育大學,兒童英語教育學系(公費生),32202,1.2744
國立中山大學,西灣南星C組,27232,1.273558
國立中正大學,通訊工程學系,41192,1.26493
